[Debug] Encriptando bloques (archivo original: 11450 bytes):
[Block 0] IN: V0=0x4556414E, V1=0x47454C49 -> C0=0xD07A5D31, C1=0x393F61AC
[Block 1] IN: V0=0x4F205345, V1=0x47554E20 -> C0=0x63355E81, C1=0xB0A6A460
[Block 2] IN: V0=0x4D415243, V1=0x4F530D0A -> C0=0x4C867CD7, C1=0xAFD4E771
[Block 3] IN: V0=0x4A6F7267, V1=0x65204C75 -> C0=0xB1C643AD, C1=0x1C6023DD
[Block 4] IN: V0=0x69732042, V1=0x6F726765 -> C0=0xBEBB3115, C1=0xFAAC9489
[Block 5] IN: V0=0x730D0A0D, V1=0x0A456C20 -> C0=0xABFF718A, C1=0x16D2C532
[Block 6] IN: V0=0x68656368, V1=0x6F207375 -> C0=0xD5BD2AF2, C1=0xEA76927E
[Block 7] IN: V0=0x63656469, V1=0xC3B32065 -> C0=0xAABC3994, C1=0x3672F115
[Block 8] IN: V0=0x6E206C61, V1=0x20657374 -> C0=0xDA363951, C1=0x4901DDD1
[Block 9] IN: V0=0x616E6369, V1=0x61204C6F -> C0=0xDB320732, C1=0x36D50846
[Block 10] IN: V0=0x7320C381, V1=0x6C616D6F -> C0=0xADD95307, C1=0xD8577EF0
[Block 11] IN: V0=0x732C2065, V1=0x6E20656C -> C0=0x33A0F2F5, C1=0x5C45D007
[Block 12] IN: V0=0x20706172, V1=0x7469646F -> C0=0x0D0EF777, C1=0x849C23F4
[Block 13] IN: V0=0x20646520, V1=0x4A756EC3 -> C0=0x70666F75, C1=0x32D2A72F
[Block 14] IN: V0=0xAD6E2C20, V1=0x68616369 -> C0=0x173FB5E7, C1=0xD4FCE530
[Block 15] IN: V0=0x6120656C, V1=0x20737572 -> C0=0xC414AC8C, C1=0xA8847FED
[Block 16] IN: V0=0x2C20656E, V1=0x206C6F73 -> C0=0x19C45728, C1=0x57F24233
[Block 17] IN: V0=0x20C3BA6C, V1=0x74696D6F -> C0=0x1580B523, C1=0x0A3A751C
[Block 18] IN: V0=0x732064C3, V1=0xAD617320 -> C0=0xA20A8D11, C1=0x54440AAE
[Block 19] IN: V0=0x64656C20, V1=0x6D657320 -> C0=0x7C182B13, C1=0x9901A55F
[Block 20] IN: V0=0x6465206D, V1=0x61727A6F -> C0=0x400646DF, C1=0x0ECD2420
[Block 21] IN: V0=0x20646520, V1=0x31393238 -> C0=0x79BB526B, C1=0x5BB568BE
[Block 22] IN: V0=0x2E205375, V1=0x2070726F -> C0=0x87A77438, C1=0x49B54BE0
[Block 23] IN: V0=0x7461676F, V1=0x6E697374 -> C0=0xF39D320A, C1=0x5CDC56A4
[Block 24] IN: V0=0x61206675, V1=0x6520756E -> C0=0xA5D2C2CE, C1=0x71005D0D
[Block 25] IN: V0=0x20657374, V1=0x75646961 -> C0=0xE4C98FB9, C1=0x2E71B5CB
[Block 26] IN: V0=0x6E746520, V1=0x6465206D -> C0=0x3745325A, C1=0x4EDE76D9
[Block 27] IN: V0=0x65646963, V1=0x696E612C -> C0=0xBC26E75C, C1=0x8BD962D7
[Block 28] IN: V0=0x2042616C, V1=0x74617361 -> C0=0xD0D880F6, C1=0x10DCC32E
[Block 29] IN: V0=0x72204573, V1=0x70696E6F -> C0=0xFA97ED35, C1=0xF4D91180
[Block 30] IN: V0=0x73612E20, V1=0x506F6465 -> C0=0xE4B7BBDA, C1=0x033D9450
[Block 31] IN: V0=0x6D6F7320, V1=0x64656669 -> C0=0x6D252BC9, C1=0x07791E4B
[Block 32] IN: V0=0x6E69726C, V1=0x6F20706F -> C0=0x85FBF507, C1=0xE0D7CF46
[Block 33] IN: V0=0x72206168, V1=0x6F726120 -> C0=0x2ED7CBA3, C1=0x2BC4CD6F
[Block 34] IN: V0=0x636F6D6F, V1=0x20756E6F -> C0=0xCB0CA950, C1=0x814A3E7C
[Block 35] IN: V0=0x20646520, V1=0x74616E74 -> C0=0xDFF344D4, C1=0x6A5A3F47
[Block 36] IN: V0=0x6F73206D, V1=0x75636861 -> C0=0x367D15AF, C1=0x9A9B0E56
[Block 37] IN: V0=0x63686F73, V1=0x20706F72 -> C0=0xE02F62D9, C1=0x9133CB19
[Block 38] IN: V0=0x7465C3B1, V1=0x6F732C20 -> C0=0x8030864D, C1=0xC796CE0E
[Block 39] IN: V0=0x73696E20, V1=0x6F74726F -> C0=0x0D694C87, C1=0xE812B4F0
[Block 40] IN: V0=0x73207261, V1=0x73676F73 -> C0=0x04A0E846, C1=0x0C6CB20B
[Block 41] IN: V0=0x20646967, V1=0x6E6F7320 -> C0=0x47782A1D, C1=0x463E7672
[Block 42] IN: V0=0x6465206E, V1=0x6F746120 -> C0=0x6F0A9E9D, C1=0xB3818DD3
[Block 43] IN: V0=0x71756520, V1=0x65736120 -> C0=0x7DB9DBEC, C1=0xD3E3D7DC
[Block 44] IN: V0=0x66616375, V1=0x6C746164 -> C0=0xC4A050DF, C1=0xDDDD2A97
[Block 45] IN: V0=0x206F7261, V1=0x746F7269 -> C0=0xE2D5ACAC, C1=0x6EA53A40
[Block 46] IN: V0=0x61207175, V1=0x65206C65 -> C0=0x1D27FC42, C1=0xDF592838
[Block 47] IN: V0=0x20686162, V1=0xC3AD6120 -> C0=0x2C51EBCB, C1=0xD16F056F
[Block 48] IN: V0=0x68656368, V1=0x6F206D65 -> C0=0x7BF30285, C1=0x8FF3B936
[Block 49] IN: V0=0x72656365, V1=0x72206DC3 -> C0=0x5BAC8CD5, C1=0xD573D6C5
[Block 50] IN: V0=0xA1732064, V1=0x6520756E -> C0=0xD30A5F40, C1=0x4CFD238E
[Block 51] IN: V0=0x20707265, V1=0x6D696F20 -> C0=0x8F1F1D05, C1=0xFBAAB260
[Block 52] IN: V0=0x656E2065, V1=0x6C20636F -> C0=0x7A88CB1B, C1=0x4880025E
[Block 53] IN: V0=0x6C656769, V1=0x6F20696E -> C0=0x2C5A22D2, C1=0x15758E7D
[Block 54] IN: V0=0x676CC3A9, V1=0x73206465 -> C0=0xA3A81B49, C1=0xAD5EEEE2
[Block 55] IN: V0=0x2052616D, V1=0x6F73204D -> C0=0x947646CE, C1=0x06C382BD
[Block 56] IN: V0=0x656AC3AD, V1=0x61207920 -> C0=0xFA4D6C2E, C1=0x30BA927B
[Block 57] IN: V0=0x71756520, V1=0x756E6120 -> C0=0xEBD317E5, C1=0x92AE7671
[Block 58] IN: V0=0x63617369, V1=0x20696C69 -> C0=0x198431C3, C1=0x9E019688
[Block 59] IN: V0=0x6D697461, V1=0x64612062 -> C0=0x9EEC9C5E, C1=0x9079AD94
[Block 60] IN: V0=0x6F6E6461, V1=0x642E204E -> C0=0x69500B9A, C1=0x5CE1B42B
[Block 61] IN: V0=0x6F206C65, V1=0x20677573 -> C0=0xD7E961DA, C1=0x254693DE
[Block 62] IN: V0=0x74616261, V1=0x20646973 -> C0=0xBF6A3090, C1=0xA70BA875
[Block 63] IN: V0=0x63757469, V1=0x723B2070 -> C0=0xF66F8461, C1=0x9D659FD6
[Block 64] IN: V0=0x72656665, V1=0x72C3AD61 -> C0=0x14694B71, C1=0xEDE5B00D
[Block 65] IN: V0=0x20717565, V1=0x20656C20 -> C0=0x9E780038, C1=0x442EE1F6
[Block 66] IN: V0=0x696E7465, V1=0x726C6F63 -> C0=0x9DB0091A, C1=0x2CECAAF5
[Block 67] IN: V0=0x75746F72, V1=0x20747576 -> C0=0x380DFCBD, C1=0x860D5CD0
[Block 68] IN: V0=0x69657261, V1=0x2072617A -> C0=0x8A42C702, C1=0x44C75544
[Block 69] IN: V0=0xC3B36E20, V1=0x79206E6F -> C0=0xB12EE8E4, C1=0x18D63469
[Block 70] IN: V0=0x20C3A96C, V1=0x2E204175 -> C0=0x8584BACB, C1=0x4A4E939F
[Block 71] IN: V0=0x6E717565, V1=0x206C6F73 -> C0=0x07AEE4BC, C1=0x6D45E78A
[Block 72] IN: V0=0x20617A61, V1=0x72657320 -> C0=0x65449517, C1=0xE0904AA9
[Block 73] IN: V0=0x64656C20, V1=0x6A756567 -> C0=0x994BCB46, C1=0x9E1B1AB1
[Block 74] IN: V0=0x6F206C65, V1=0x20696E74 -> C0=0x88FD6440, C1=0x50AF2536
[Block 75] IN: V0=0x65726573, V1=0x6162616E -> C0=0x8DC3A565, C1=0x5D783439
[Block 76] IN: V0=0x2C206572, V1=0x6120756E -> C0=0xB4346409, C1=0xFD48B395
[Block 77] IN: V0=0x206D616C, V1=0x206A7567 -> C0=0x0C1BFB83, C1=0xB7BDB82C
[Block 78] IN: V0=0x61646F72, V1=0x2C20706F -> C0=0xB7EF9787, C1=0x6E2B5832
[Block 79] IN: V0=0x72717565, V1=0x206C6520 -> C0=0xA9FA712D, C1=0x646DE269
[Block 80] IN: V0=0x64657361, V1=0x67726164 -> C0=0x0628D8AB, C1=0x11112AA6
[Block 81] IN: V0=0x61626120, V1=0x67616E61 -> C0=0x4BAB29A9, C1=0x31EC4621
[Block 82] IN: V0=0x722E2053, V1=0x75206162 -> C0=0x6D23DC27, C1=0xAA325B7D
[Block 83] IN: V0=0x69657274, V1=0x6120696E -> C0=0xEBF7D274, C1=0x6EA5455F
[Block 84] IN: V0=0x74656C69, V1=0x67656E63 -> C0=0x96E97CF7, C1=0x8DCAB1E4
[Block 85] IN: V0=0x69612065, V1=0x72612070 -> C0=0x9C2E2A09, C1=0x176207E5
[Block 86] IN: V0=0x6572657A, V1=0x6F73613B -> C0=0xD1B511F7, C1=0x65F52EC5
[Block 87] IN: V0=0x2061206C, V1=0x6F732074 -> C0=0x23D2CD62, C1=0xE4369685
[Block 88] IN: V0=0x7265696E, V1=0x74612079 -> C0=0xD32CC963, C1=0x167D1FBD
[Block 89] IN: V0=0x20747265, V1=0x732061C3 -> C0=0x9854F7A0, C1=0xD48671AD
[Block 90] IN: V0=0xB16F7320, V1=0x6C652066 -> C0=0xE5A899D5, C1=0x3D1BDF50
[Block 91] IN: V0=0x616C7461, V1=0x62612072 -> C0=0xEF843331, C1=0x64D900BF
[Block 92] IN: V0=0x656E6469, V1=0x7220756E -> C0=0x85BA20C6, C1=0xDA830A4F
[Block 93] IN: V0=0x61206D61, V1=0x74657269 -> C0=0xE565D2AA, C1=0x7C84D24C
[Block 94] IN: V0=0x61207061, V1=0x72612067 -> C0=0xF76CDBEF, C1=0x2934CFEF
[Block 95] IN: V0=0x72616475, V1=0x61727365 -> C0=0xEC1097C7, C1=0x798A5BFA
[Block 96] IN: V0=0x2C206C61, V1=0x20717565 -> C0=0x8EF9E69D, C1=0x7D60A716
[Block 97] IN: V0=0x206DC3A1, V1=0x73206C6F -> C0=0xEB9DA7D1, C1=0xC0A908D7
[Block 98] IN: V0=0x20617472, V1=0x61C3AD61 -> C0=0xBA38CD71, C1=0xA612542A
[Block 99] IN: V0=0x2E205375, V1=0x20706164 -> C0=0xB4A811FA, C1=0xE8D4D6D7
[Block 100] IN: V0=0x72652C20, V1=0x71756520 -> C0=0xCC9A0BF3, C1=0xB185BE4D
[Block 101] IN: V0=0x65726120, V1=0x6C696272 -> C0=0x300ABA5C, C1=0xA738862C
[Block 102] IN: V0=0x6570656E, V1=0x7361646F -> C0=0x7AA5445A, C1=0x76B20921
[Block 103] IN: V0=0x722C2063, V1=0x6F6D6F20 -> C0=0x12500759, C1=0xA04895D7
[Block 104] IN: V0=0x746F646F, V1=0x73206C6F -> C0=0xBF243B13, C1=0x643B6441
[Block 105] IN: V0=0x73207365, V1=0xC3B16F72 -> C0=0x568D4B53, C1=0xB2B0CBF2
[Block 106] IN: V0=0x65732064, V1=0x65207375 -> C0=0x1C37A1CC, C1=0x85A6BD28
